Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,3/8/2014,08/03/2014 00:00:00,SÁBADO,-19.62366220,-43.22442890,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2017,1/6/2017,06/01/2017 00:00:00,SEXTA-FEIRA,-19.62502250,-43.22897780,CONSUMADO,BENS / VALORES DE TRANSEUNTE,PREENCHIMENTO OPCIONAL
2017,6/2/2017,02/06/2017 00:00:00,SEXTA-FEIRA,-19.59304690,-43.19542870,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2019,10/8/2019,08/10/2019 00:00:00,TERÇA-FEIRA,-19.62361080,-43.10929270,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,PREENCHIMENTO OPCIONAL
2014,1/3/2014,03/01/2014 14:30:00,SEXTA-FEIRA,-19.62070510,-43.21681540,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/4/2014,04/01/2014 12:20:00,SÁBADO,-19.64787360,-43.22051890,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,1/6/2014,06/01/2014 21:40:00,SEGUNDA-FEIRA,-19.62952420,-43.20689390,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,1/8/2014,08/01/2014 21:30:00,QUARTA-FEIRA,-19.63942020,-43.23447540,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,1/9/2014,09/01/2014 15:00:00,QUINTA-FEIRA,-19.64390370,-43.22626110,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,1/10/2014,10/01/2014 00:06:00,SEXTA-FEIRA,-19.62948800,-43.22967150,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,1/10/2014,10/01/2014 23:00:00,SEXTA-FEIRA,-19.64706580,-43.23156070,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,1/14/2014,14/01/2014 21:50:00,TERÇA-FEIRA,-19.64382740,-43.22615430,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,1/19/2014,19/01/2014 21:33:00,DOMINGO,-19.65052000,-43.20023700,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,OUTRAS MOTIVACOES/CAUSAS 
2014,1/24/2014,24/01/2014 10:00:00,SEXTA-FEIRA,-19.64094570,-43.22457980,CONSUMADO,BENS / VALORES DE MOTORISTA / COBRADOR DE TRANSPORTE COLETIVO,VANTAGEM ECONOMICA
2014,1/27/2014,27/01/2014 18:40:00,SEGUNDA-FEIRA,-19.64065250,-43.21999800,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/30/2014,30/01/2014 16:45:00,QUINTA-FEIRA,-19.64319540,-43.22902280,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,1/30/2014,30/01/2014 17:00:00,QUINTA-FEIRA,-19.62042249,-43.21953893,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,2/3/2014,03/02/2014 20:20:00,SEGUNDA-FEIRA,-19.62743910,-43.22645060,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,2/5/2014,05/02/2014 23:55:00,QUARTA-FEIRA,-19.65635520,-43.23348110,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,2/6/2014,06/02/2014 17:30:00,QUINTA-FEIRA,-19.64993070,-43.21837090,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,2/7/2014,07/02/2014 08:00:00,SEXTA-FEIRA,-19.63778690,-43.22739030,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,OUTRAS MOTIVACOES/CAUSAS 
2014,2/10/2014,10/02/2014 18:13:00,SEGUNDA-FEIRA,-19.59467460,-43.19675380,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,2/12/2014,12/02/2014 16:45:00,QUARTA-FEIRA,-19.62454180,-43.22195480,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,2/12/2014,12/02/2014 20:50:00,QUARTA-FEIRA,-19.65671680,-43.23441630,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,2/13/2014,13/02/2014 11:50:00,QUINTA-FEIRA,-19.65783460,-43.23483210,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/13/2014,13/02/2014 21:00:00,QUINTA-FEIRA,-19.65665240,-43.24667360,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/14/2014,14/02/2014 23:05:00,SEXTA-FEIRA,-19.65795710,-43.23444750,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,OUTRAS MOTIVACOES/CAUSAS 
2014,2/17/2014,17/02/2014 20:10:00,SEGUNDA-FEIRA,-19.63176740,-43.23285740,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,2/20/2014,20/02/2014 19:45:00,QUINTA-FEIRA,-19.65530500,-43.21035840,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/21/2014,21/02/2014 14:40:00,SEXTA-FEIRA,-19.65786200,-43.23353290,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,ENVOLVIMENTO COM DROGAS
2014,2/23/2014,23/02/2014 18:00:00,DOMINGO,-19.65321300,-43.23326170,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/24/2014,24/02/2014 06:40:00,SEGUNDA-FEIRA,-19.65031810,-43.23643870,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/24/2014,24/02/2014 17:30:00,SEGUNDA-FEIRA,-19.64285310,-43.23099480,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/1/2014,01/03/2014 04:10:00,SÁBADO,-19.59049880,-43.19407380,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,3/4/2014,04/03/2014 13:00:00,TERÇA-FEIRA,-19.65031810,-43.23643870,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,3/5/2014,05/03/2014 12:40:00,QUARTA-FEIRA,-19.62104420,-43.22601700,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/7/2014,07/03/2014 14:00:00,SEXTA-FEIRA,-19.65660190,-43.24636800,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/7/2014,07/03/2014 20:27:00,SEXTA-FEIRA,-19.62366220,-43.22442890,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,3/8/2014,08/03/2014 21:30:00,SÁBADO,-19.64420760,-43.17856580,CONSUMADO,CARGAS,VANTAGEM ECONOMICA
2014,3/10/2014,10/03/2014 13:00:00,SEGUNDA-FEIRA,-19.64566610,-43.22410960,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
