Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2017,1/31/2017,31/01/2017 00:00:00,TERÇA-FEIRA,-22.42776430,-45.48981660,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,IGNORADO
2017,7/21/2017,21/07/2017 00:00:00,SEXTA-FEIRA,-22.41210800,-45.45262800,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2019,2/27/2019,27/02/2019 00:00:00,QUARTA-FEIRA,-22.41586660,-45.43852830,CONSUMADO,BENS/VALORES DE CLIENTE/VISITANTE DE ESTABELECIMENTO,PREENCHIMENTO OPCIONAL
2019,5/23/2019,23/05/2019 00:00:00,QUINTA-FEIRA,-22.42375700,-45.44927260,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2021,5/18/2021,18/05/2021 00:00:00,TERÇA-FEIRA,-22.42375700,-45.44927260,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/1/2014,01/01/2014 04:00:00,QUARTA-FEIRA,-22.43386930,-45.45482360,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/6/2014,06/01/2014 22:00:00,SEGUNDA-FEIRA,-22.42264130,-45.48670760,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,1/11/2014,11/01/2014 21:15:00,SÁBADO,-22.42118740,-45.45477290,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,1/16/2014,16/01/2014 04:30:00,QUINTA-FEIRA,-22.42290880,-45.46833430,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/27/2014,27/01/2014 23:00:00,SEGUNDA-FEIRA,-22.42542760,-45.45048870,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/28/2014,28/01/2014 00:05:00,TERÇA-FEIRA,-22.42466080,-45.45836140,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/29/2014,29/01/2014 23:50:00,QUARTA-FEIRA,-22.42098920,-45.45368540,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/31/2014,31/01/2014 15:00:00,SEXTA-FEIRA,-22.42355160,-45.45748900,TENTADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,VANTAGEM ECONOMICA
2014,2/14/2014,14/02/2014 21:50:00,SEXTA-FEIRA,-22.42289370,-45.48775170,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/4/2014,04/03/2014 00:15:00,TERÇA-FEIRA,-22.42240840,-45.45178489,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/10/2014,10/03/2014 23:00:00,SEGUNDA-FEIRA,-22.42426150,-45.45836420,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,3/18/2014,18/03/2014 08:39:00,TERÇA-FEIRA,-22.43336130,-45.46243310,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,3/28/2014,28/03/2014 20:30:00,SEXTA-FEIRA,-22.42838030,-45.46326420,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,3/31/2014,31/03/2014 20:50:00,SEGUNDA-FEIRA,-22.45558140,-45.48692240,CONSUMADO,BENS / VALORES EM INTERIOR DE VEICULO,VANTAGEM ECONOMICA
2014,4/2/2014,02/04/2014 05:00:00,QUARTA-FEIRA,-22.42487530,-45.46730060,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,4/2/2014,02/04/2014 17:25:00,QUARTA-FEIRA,-22.43262450,-45.45775930,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,4/8/2014,08/04/2014 19:00:00,TERÇA-FEIRA,-22.42553950,-45.44867010,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,4/10/2014,10/04/2014 11:00:00,QUINTA-FEIRA,-22.43380910,-45.45817280,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,4/15/2014,15/04/2014 16:45:00,TERÇA-FEIRA,-22.41956780,-45.47674550,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,4/24/2014,24/04/2014 08:50:00,QUINTA-FEIRA,-22.41967180,-45.46794000,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,5/1/2014,01/05/2014 03:00:00,QUINTA-FEIRA,-22.42377690,-45.46755060,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,5/6/2014,06/05/2014 13:55:00,TERÇA-FEIRA,-22.42236790,-45.47093490,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,5/7/2014,07/05/2014 09:15:00,QUARTA-FEIRA,-22.45743070,-45.47961890,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,5/8/2014,08/05/2014 22:14:00,QUINTA-FEIRA,-22.42875740,-45.46196370,TENTADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,OUTRAS MOTIVACOES/CAUSAS 
2014,5/9/2014,09/05/2014 15:20:00,SEXTA-FEIRA,-22.37166430,-45.40611110,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2014,5/17/2014,17/05/2014 19:55:00,SÁBADO,-22.42553690,-45.46092190,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,5/29/2014,29/05/2014 05:24:00,QUINTA-FEIRA,-22.43690030,-45.45865630,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,ENVOLVIMENTO COM DROGAS
2014,6/13/2014,13/06/2014 22:50:00,SEXTA-FEIRA,-22.42221770,-45.45493730,TENTADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,6/22/2014,22/06/2014 02:20:00,DOMINGO,-22.42850140,-45.46162200,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,6/23/2014,23/06/2014 16:32:00,SEGUNDA-FEIRA,-22.42427790,-45.45300900,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,6/28/2014,28/06/2014 00:45:00,SÁBADO,-22.42924920,-45.45895130,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/1/2014,01/07/2014 01:00:00,TERÇA-FEIRA,-22.41965930,-45.44572400,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,7/8/2014,08/07/2014 20:45:00,TERÇA-FEIRA,-22.42158620,-45.45649970,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/15/2014,15/07/2014 12:30:00,TERÇA-FEIRA,-22.41926260,-45.47578900,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,7/18/2014,18/07/2014 18:00:00,SEXTA-FEIRA,-22.39233610,-45.45990740,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2014,7/20/2014,20/07/2014 22:45:00,DOMINGO,-22.41997180,-45.45009850,TENTADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,7/27/2014,27/07/2014 01:00:00,DOMINGO,-22.42161640,-45.46413660,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,7/29/2014,29/07/2014 20:00:00,TERÇA-FEIRA,-22.41712080,-45.46361320,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,7/31/2014,31/07/2014 19:00:00,QUINTA-FEIRA,-22.42427790,-45.45300900,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,8/1/2014,01/08/2014 23:20:00,SEXTA-FEIRA,-22.42477660,-45.45122160,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,VANTAGEM ECONOMICA
2014,8/6/2014,06/08/2014 21:05:00,QUARTA-FEIRA,-22.45741210,-45.48214930,CONSUMADO,BENS / VALORES DE MOTORISTA / COBRADOR DE TRANSPORTE COLETIVO,VANTAGEM ECONOMICA
2014,8/7/2014,07/08/2014 09:30:00,QUINTA-FEIRA,-22.42216680,-45.45181930,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,8/11/2014,11/08/2014 20:20:00,SEGUNDA-FEIRA,-22.41906430,-45.47128100,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,8/20/2014,20/08/2014 21:50:00,QUARTA-FEIRA,-22.44594380,-45.45647700,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,VANTAGEM ECONOMICA
2014,8/22/2014,22/08/2014 06:45:00,SEXTA-FEIRA,-22.43157960,-45.48912840,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
