Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,4/20/2014,20/04/2014 00:00:00,DOMINGO,-19.83833620,-43.19439770,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,2/26/2015,26/02/2015 00:00:00,QUINTA-FEIRA,-19.83749650,-43.18422000,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,IGNORADO
2015,3/5/2015,05/03/2015 00:00:00,QUINTA-FEIRA,-19.83849880,-43.19369520,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,6/4/2015,04/06/2015 00:00:00,QUINTA-FEIRA,-19.83835180,-43.19454560,CONSUMADO,BENS / VALORES DE TRANSEUNTE,PREENCHIMENTO OPCIONAL
2015,6/29/2015,29/06/2015 00:00:00,SEGUNDA-FEIRA,-19.83749650,-43.18422000,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,PREENCHIMENTO OPCIONAL
2015,6/29/2015,29/06/2015 00:00:00,SEGUNDA-FEIRA,-19.83749650,-43.18422000,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,PREENCHIMENTO OPCIONAL
2015,10/1/2015,01/10/2015 00:00:00,QUINTA-FEIRA,-19.85102720,-43.21499490,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,PREENCHIMENTO OPCIONAL
2015,10/25/2015,25/10/2015 00:00:00,DOMINGO,-19.83749650,-43.18422000,CONSUMADO,BENS / VALORES EM INTERIOR DE VEICULO,VANTAGEM ECONOMICA
2015,12/2/2015,02/12/2015 00:00:00,QUARTA-FEIRA,-19.84600360,-43.20477170,CONSUMADO,BENS / VALORES EM INTERIOR DE VEICULO,PREENCHIMENTO OPCIONAL
2015,12/11/2015,11/12/2015 00:00:00,SEXTA-FEIRA,-19.86019990,-43.11507660,CONSUMADO,CARGAS,VANTAGEM ECONOMICA
2015,12/11/2015,11/12/2015 00:00:00,SEXTA-FEIRA,-19.86019990,-43.11507660,CONSUMADO,CARGAS,PREENCHIMENTO OPCIONAL
2015,12/31/2015,31/12/2015 00:00:00,QUINTA-FEIRA,-19.84600360,-43.20477170,CONSUMADO,BENS / VALORES EM INTERIOR DE VEICULO,PREENCHIMENTO OPCIONAL
2016,1/10/2016,10/01/2016 00:00:00,DOMINGO,-19.85828330,-43.12304850,CONSUMADO,MOTORISTA DE TAXI,VANTAGEM ECONOMICA
2016,2/10/2016,10/02/2016 00:00:00,QUARTA-FEIRA,-19.83749650,-43.18422000,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2016,3/24/2016,24/03/2016 00:00:00,QUINTA-FEIRA,-19.85102720,-43.21499490,CONSUMADO,CARGAS,IGNORADO
2016,5/6/2016,06/05/2016 00:00:00,SEXTA-FEIRA,-19.86019990,-43.11507660,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
