Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2015,3/30/2015,30/03/2015 00:00:00,SEGUNDA-FEIRA,-20.42404310,-43.86472240,CONSUMADO,CARGAS,PREENCHIMENTO OPCIONAL
2015,10/6/2015,06/10/2015 00:00:00,TERÇA-FEIRA,-20.43624130,-43.84629420,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,PREENCHIMENTO OPCIONAL
2016,7/26/2016,26/07/2016 00:00:00,TERÇA-FEIRA,-20.43624130,-43.84629420,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,PREENCHIMENTO OPCIONAL
2017,1/6/2017,06/01/2017 00:00:00,SEXTA-FEIRA,-20.42924740,-43.85694310,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,PREENCHIMENTO OPCIONAL
2017,1/25/2017,25/01/2017 00:00:00,QUARTA-FEIRA,-20.42699550,-43.86020750,CONSUMADO,CARGAS,PREENCHIMENTO OPCIONAL
2017,1/31/2017,31/01/2017 00:00:00,TERÇA-FEIRA,-20.41741230,-43.88658930,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,PREENCHIMENTO OPCIONAL
2017,3/3/2017,03/03/2017 00:00:00,SEXTA-FEIRA,-20.38542680,-43.50576090,CONSUMADO,BENS / VALORES DE TRANSEUNTE,PREENCHIMENTO OPCIONAL
2017,6/29/2017,29/06/2017 00:00:00,QUINTA-FEIRA,-20.38343410,-43.90091350,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,PREENCHIMENTO OPCIONAL
2017,9/1/2017,01/09/2017 00:00:00,SEXTA-FEIRA,-20.41741230,-43.88658930,CONSUMADO,CARGAS,VANTAGEM ECONOMICA
2017,12/29/2017,29/12/2017 00:00:00,SEXTA-FEIRA,-20.32538950,-43.69139970,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
