Ano Fato,Data Fato,Data_Hora Fato,Horário Fato,Dia da Semana Fato,Latitude,Longitude,Município,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,1/2/2014,02/01/2014 16:40:00,16:40:00,QUINTA-FEIRA,-21.42619830,-45.95080300,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,1/5/2014,05/01/2014 15:00:00,15:00:00,DOMINGO,-21.52406410,-45.94389560,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,ACAO DE GANGUES / FACCOES CRIMINOSAS
2014,1/6/2014,06/01/2014 01:10:00,01:10:00,SEGUNDA-FEIRA,-21.44155760,-45.94906440,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2014,1/12/2014,12/01/2014 03:20:00,03:20:00,DOMINGO,-21.43385390,-45.93572550,ALFENAS,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2014,1/13/2014,13/01/2014 11:45:00,11:45:00,SEGUNDA-FEIRA,-21.42254280,-45.94719040,ALFENAS,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,IGNORADO
2014,1/16/2014,16/01/2014 23:21:00,23:21:00,QUINTA-FEIRA,-21.42876840,-45.94678900,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/18/2014,18/01/2014 02:00:00,02:00:00,SÁBADO,-21.41886980,-45.94595370,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,1/21/2014,21/01/2014 20:30:00,20:30:00,TERÇA-FEIRA,-21.42298330,-45.94877030,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/23/2014,23/01/2014 20:35:00,20:35:00,QUINTA-FEIRA,-21.42205150,-45.95306900,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/29/2014,29/01/2014 16:45:00,16:45:00,QUARTA-FEIRA,-21.42302840,-45.95575490,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,OUTRAS MOTIVACOES/CAUSAS 
2014,1/31/2014,31/01/2014 22:38:00,22:38:00,SEXTA-FEIRA,-21.42833800,-45.94309440,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/31/2014,31/01/2014 21:45:00,21:45:00,SEXTA-FEIRA,-21.42975047,-45.94970824,ALFENAS,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,IGNORADO
2014,2/2/2014,02/02/2014 01:24:00,01:24:00,DOMINGO,-21.42205150,-45.95306900,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/3/2014,03/02/2014 16:00:00,16:00:00,SEGUNDA-FEIRA,-21.40531080,-45.94404320,ALFENAS,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),AUTOR COM OUTRAS DIVIDAS
2014,2/5/2014,05/02/2014 22:30:00,22:30:00,QUARTA-FEIRA,-21.43725970,-45.95417950,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/6/2014,06/02/2014 19:00:00,19:00:00,QUINTA-FEIRA,-21.41839300,-45.95607900,ALFENAS,CONSUMADO,CARGAS,IGNORADO
2014,2/8/2014,08/02/2014 03:49:00,03:49:00,SÁBADO,-21.42809620,-45.93296610,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,IGNORADO
2014,2/10/2014,10/02/2014 05:30:00,05:30:00,SEGUNDA-FEIRA,-21.42458250,-45.94832660,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,2/12/2014,12/02/2014 19:00:00,19:00:00,QUARTA-FEIRA,-21.43826450,-45.94337410,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/13/2014,13/02/2014 23:45:00,23:45:00,QUINTA-FEIRA,-21.42329690,-45.94817470,ALFENAS,TENTADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,2/14/2014,14/02/2014 06:04:00,06:04:00,SEXTA-FEIRA,-21.42619476,-45.94932305,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,2/16/2014,16/02/2014 19:45:00,19:45:00,DOMINGO,-21.42466940,-45.96089760,ALFENAS,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,IGNORADO
2014,2/18/2014,18/02/2014 15:50:00,15:50:00,TERÇA-FEIRA,-21.44858340,-45.94805020,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,2/20/2014,20/02/2014 22:13:00,22:13:00,QUINTA-FEIRA,-21.42482230,-45.95038490,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/22/2014,22/02/2014 14:40:00,14:40:00,SÁBADO,-21.44179870,-45.96479100,ALFENAS,TENTADO,CARGAS,ACAO DE GANGUES / FACCOES CRIMINOSAS
