Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,6/23/2014,23/06/2014 00:00:00,SEGUNDA-FEIRA,-21.24673650,-45.00289730,CONSUMADO,BENS / VALORES DE TRANSEUNTE,PREENCHIMENTO OPCIONAL
2014,8/2/2014,02/08/2014 00:00:00,SÁBADO,-21.30553390,-45.15771440,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),PREENCHIMENTO OPCIONAL
2014,11/1/2014,01/11/2014 00:00:00,SÁBADO,-21.21625220,-45.12386140,CONSUMADO,BENS / VALORES DE MOTORISTA / COBRADOR DE TRANSPORTE COLETIVO,VANTAGEM ECONOMICA
2017,1/11/2017,11/01/2017 00:00:00,QUARTA-FEIRA,-21.22870450,-45.13226940,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,PREENCHIMENTO OPCIONAL
2017,1/11/2017,11/01/2017 00:00:00,QUARTA-FEIRA,-21.21802940,-45.12705680,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,PREENCHIMENTO OPCIONAL
2017,8/17/2017,17/08/2017 00:00:00,QUINTA-FEIRA,-21.21625220,-45.12386140,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2017,12/18/2017,18/12/2017 00:00:00,SEGUNDA-FEIRA,-21.32292010,-45.16611090,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,PREENCHIMENTO OPCIONAL
2014,1/1/2014,01/01/2014 21:20:00,QUARTA-FEIRA,-21.24827350,-45.02502430,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,1/4/2014,04/01/2014 02:09:00,SÁBADO,-21.24609490,-45.00066820,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,1/20/2014,20/01/2014 08:54:00,SEGUNDA-FEIRA,-21.23510540,-45.00536970,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,1/20/2014,20/01/2014 15:10:00,SEGUNDA-FEIRA,-21.24657880,-44.99040670,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,2/5/2014,05/02/2014 04:45:00,QUARTA-FEIRA,-21.25576920,-44.99235310,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,2/8/2014,08/02/2014 10:02:00,SÁBADO,-21.24599740,-45.01351300,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,IGNORADO
2014,2/9/2014,09/02/2014 00:01:00,DOMINGO,-21.29416670,-45.01583330,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,OUTRAS MOTIVACOES/CAUSAS 
2014,2/10/2014,10/02/2014 23:43:00,SEGUNDA-FEIRA,-21.23510640,-44.99660870,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,2/22/2014,22/02/2014 03:52:00,SÁBADO,-21.24723370,-45.00125350,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,2/22/2014,22/02/2014 04:30:00,SÁBADO,-21.28400270,-44.97706110,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2014,2/23/2014,23/02/2014 22:45:00,DOMINGO,-21.24827390,-44.99602830,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,IGNORADO
2014,3/3/2014,03/03/2014 17:30:00,SEGUNDA-FEIRA,-21.23829220,-44.99377010,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,3/3/2014,03/03/2014 21:40:00,SEGUNDA-FEIRA,-21.24059030,-44.99944030,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/4/2014,04/03/2014 01:50:00,TERÇA-FEIRA,-21.24794110,-45.00372010,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/11/2014,11/03/2014 15:01:00,TERÇA-FEIRA,-21.25697160,-45.01534410,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,ACAO DE GANGUES / FACCOES CRIMINOSAS
2014,3/24/2014,24/03/2014 14:49:00,SEGUNDA-FEIRA,-21.23803400,-44.99629930,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,3/29/2014,29/03/2014 01:25:00,SÁBADO,-21.23697450,-44.99395850,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,4/6/2014,06/04/2014 05:55:00,DOMINGO,-21.23177830,-45.00224190,TENTADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,4/13/2014,13/04/2014 21:48:00,DOMINGO,-21.23601740,-45.02181340,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,4/14/2014,14/04/2014 02:30:00,SEGUNDA-FEIRA,-21.24864880,-45.00521380,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,4/18/2014,18/04/2014 01:30:00,SEXTA-FEIRA,-21.25273800,-44.99879960,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,4/18/2014,18/04/2014 03:20:00,SEXTA-FEIRA,-21.23796680,-44.99808300,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,4/24/2014,24/04/2014 12:33:00,QUINTA-FEIRA,-21.22055600,-45.02416700,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/5/2014,05/05/2014 23:30:00,SEGUNDA-FEIRA,-21.22554780,-45.00344470,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/10/2014,10/05/2014 19:26:00,SÁBADO,-21.22093440,-44.99422880,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,5/15/2014,15/05/2014 22:07:00,QUINTA-FEIRA,-21.26262130,-44.98574340,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/22/2014,22/05/2014 05:43:00,QUINTA-FEIRA,-21.23703300,-44.98746000,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/30/2014,30/05/2014 19:48:00,SEXTA-FEIRA,-21.24883490,-45.00324640,TENTADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,6/29/2014,29/06/2014 22:39:00,DOMINGO,-21.24116780,-44.99885960,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/7/2014,07/07/2014 17:08:00,SEGUNDA-FEIRA,-21.25418420,-45.00363840,TENTADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,7/10/2014,10/07/2014 19:10:00,QUINTA-FEIRA,-21.22236660,-45.00305330,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,7/19/2014,19/07/2014 00:10:00,SÁBADO,-21.24220330,-44.99231560,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,7/20/2014,20/07/2014 23:54:00,DOMINGO,-21.24220330,-44.99231560,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/23/2014,23/07/2014 04:04:00,QUARTA-FEIRA,-21.24797830,-44.99056330,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/29/2014,29/07/2014 11:30:00,TERÇA-FEIRA,-21.24120090,-45.00048460,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,8/2/2014,02/08/2014 22:00:00,SÁBADO,-21.23665600,-44.99878750,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,8/3/2014,03/08/2014 19:17:00,DOMINGO,-21.22554780,-45.00344470,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,8/3/2014,03/08/2014 20:00:00,DOMINGO,-21.24262090,-45.00029210,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
