Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2018,4/28/2018,28/04/2018 00:00:00,SÁBADO,-21.11529140,-44.22418580,TENTADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,1/9/2014,09/01/2014 11:11:00,QUINTA-FEIRA,-21.13667770,-44.26325690,TENTADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,1/13/2014,13/01/2014 23:30:00,SEGUNDA-FEIRA,-21.13724540,-44.26388390,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,1/19/2014,19/01/2014 01:00:00,DOMINGO,-21.12617960,-44.25297740,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/8/2014,08/02/2014 04:15:00,SÁBADO,-21.13961590,-44.25729700,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ACAO DE GANGUES / FACCOES CRIMINOSAS
2014,2/14/2014,14/02/2014 02:30:00,SEXTA-FEIRA,-21.12578200,-44.24070810,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/17/2014,17/02/2014 05:20:00,SEGUNDA-FEIRA,-21.10546810,-44.22870910,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/22/2014,22/02/2014 04:50:00,SÁBADO,-21.12577970,-44.25515370,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/22/2014,22/02/2014 20:30:00,SÁBADO,-21.12856960,-44.23838640,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,3/2/2014,02/03/2014 11:20:00,DOMINGO,-21.13418120,-44.25679420,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
