Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2017,9/19/2017,19/09/2017 00:00:00,TERÇA-FEIRA,-20.76445590,-42.88205980,CONSUMADO,BENS / VALORES DE TRANSEUNTE,PREENCHIMENTO OPCIONAL
2017,11/8/2017,08/11/2017 00:00:00,QUARTA-FEIRA,-20.75200750,-42.88132890,TENTADO,BENS / VALORES DE TRANSEUNTE,PREENCHIMENTO OPCIONAL
2017,11/8/2017,08/11/2017 00:00:00,QUARTA-FEIRA,-20.75200750,-42.88132890,TENTADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,PREENCHIMENTO OPCIONAL
2018,3/16/2018,16/03/2018 00:00:00,SEXTA-FEIRA,-20.76443180,-42.88229120,CONSUMADO,BENS / VALORES DE TRANSEUNTE,PREENCHIMENTO OPCIONAL
2021,5/11/2021,11/05/2021 00:00:00,TERÇA-FEIRA,-20.76984520,-42.88453330,CONSUMADO,BENS / VALORES DE TRANSEUNTE,PREENCHIMENTO OPCIONAL
2021,11/30/2021,30/11/2021 00:00:00,TERÇA-FEIRA,-20.75588250,-42.89882610,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,PREENCHIMENTO OPCIONAL
2014,1/3/2014,03/01/2014 02:00:00,SEXTA-FEIRA,-20.75380670,-42.88229610,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,1/6/2014,06/01/2014 22:40:00,SEGUNDA-FEIRA,-20.75011220,-42.87050190,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2014,1/9/2014,09/01/2014 00:15:00,QUINTA-FEIRA,-20.75897110,-42.88635110,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2014,1/11/2014,11/01/2014 22:52:00,SÁBADO,-20.70359050,-42.86630400,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,1/13/2014,13/01/2014 02:30:00,SEGUNDA-FEIRA,-20.75319860,-42.88287160,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,1/29/2014,29/01/2014 20:50:00,QUARTA-FEIRA,-20.73784390,-42.88089300,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,2/1/2014,01/02/2014 03:50:00,SÁBADO,-20.75385680,-42.88313510,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,2/7/2014,07/02/2014 01:40:00,SEXTA-FEIRA,-20.75670180,-42.88015040,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,2/12/2014,12/02/2014 07:30:00,QUARTA-FEIRA,-20.77646680,-42.89850300,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,2/12/2014,12/02/2014 22:10:00,QUARTA-FEIRA,-20.72596260,-42.86455440,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2014,2/14/2014,14/02/2014 03:00:00,SEXTA-FEIRA,-20.75723610,-42.88909000,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,2/14/2014,14/02/2014 04:00:00,SEXTA-FEIRA,-20.75120600,-42.88473550,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,2/15/2014,15/02/2014 04:00:00,SÁBADO,-20.75111200,-42.82744550,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2014,2/17/2014,17/02/2014 22:15:00,SEGUNDA-FEIRA,-20.74723110,-42.87342370,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),ENVOLVIMENTO COM DROGAS
2014,2/22/2014,22/02/2014 17:05:00,SÁBADO,-20.77078030,-42.90360280,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
